Project Name,District/Planning Area,Completion,URL
GRANDE VISTA,D28 / Ang Mo Kio,1992,https://www.edgeprop.sg/condo-apartment/grande-vista
GRANDEUR 8,D20 / Ang Mo Kio,2005,https://www.edgeprop.sg/condo-apartment/grandeur-8
GRANDLINK SQUARE,D14 / Geylang,2000,https://www.edgeprop.sg/condo-apartment/grandlink-square
GRANGE 70,D10 / River Valley,1999,https://www.edgeprop.sg/condo-apartment/grange-70
GRANGE COURT,D10 / River Valley,Unknown,https://www.edgeprop.sg/condo-apartment/grange-court
GRANGE GARDEN,D10 / River Valley,1987,https://www.edgeprop.sg/condo-apartment/grange-garden
GRANGE HEIGHTS,D9 / River Valley,1975,https://www.edgeprop.sg/condo-apartment/grange-heights
GRANGE INFINITE,D9 / River Valley,2011,https://www.edgeprop.sg/condo-apartment/grange-infinite
GRANGE MANSION,D9 / River Valley,Unknown,https://www.edgeprop.sg/condo-apartment/grange-mansion
GRANGE RESIDENCES,D10 / Tanglin,2004,https://www.edgeprop.sg/condo-apartment/grange-residences
GRANGE TOWER,D9 / River Valley,1983,https://www.edgeprop.sg/condo-apartment/grange-tower
GRANGEFORD APARTMENT,D9 / River Valley,1981,https://www.edgeprop.sg/condo-apartment/grangeford-apartment
GRAY MANSIONS,D15 / Geylang,1993,https://www.edgeprop.sg/condo-apartment/gray-mansions
GREEN COURT,D14 / Geylang,1983,https://www.edgeprop.sg/condo-apartment/green-court
GREEN LODGE,D21 / Bukit Timah,1984,https://www.edgeprop.sg/condo-apartment/green-lodge
GREEN MEADOWS,D26 / Ang Mo Kio,1983,https://www.edgeprop.sg/condo-apartment/green-meadows
GREENACRES,D5 / Clementi,1984,https://www.edgeprop.sg/condo-apartment/greenacres
N/A,N/A,N/A,https://www.edgeprop.sg/condo-apartment/greenlane-apartments
GRENVILLE,D10 / Bukit Timah,Unknown,https://www.edgeprop.sg/condo-apartment/grenville
GROSVENOR VIEW,D14 / Bedok,2006,https://www.edgeprop.sg/condo-apartment/grosvenor-view
GUILIN COURT,D14 / Geylang,1995,https://www.edgeprop.sg/condo-apartment/guilin-court
GUILIN MANSIONS,D14 / Geylang,1994,https://www.edgeprop.sg/condo-apartment/guilin-mansions
GUILIN VIEW,D23 / Bukit Batok,1999,https://www.edgeprop.sg/condo-apartment/guilin-view
GUILLEMARD APARTMENT,D14 / Geylang,1985,https://www.edgeprop.sg/condo-apartment/guillemard-apartment
GUILLEMARD COURT,D14 / Geylang,1978,https://www.edgeprop.sg/condo-apartment/guillemard-court
GUILLEMARD EDGE,D14 / Geylang,2014,https://www.edgeprop.sg/condo-apartment/guillemard-edge
GUILLEMARD VIEW,D14 / Geylang,1994,https://www.edgeprop.sg/condo-apartment/guillemard-view
H RESIDENCES,D15 / Bedok,2014,https://www.edgeprop.sg/condo-apartment/h-residences
H2O RESIDENCES,D28 / Sengkang,2015,https://www.edgeprop.sg/condo-apartment/h2o-residences
HABITAT ONE,D10 / Newton,1984,https://www.edgeprop.sg/condo-apartment/habitat-one
HAIG 162,D15 / Marine Parade,2013,https://www.edgeprop.sg/condo-apartment/haig-162
HAIG APARTMENTS,D15 / Marine Parade,1991,https://www.edgeprop.sg/condo-apartment/haig-apartments
HAIG COURT,D15 / Marine Parade,2004,https://www.edgeprop.sg/condo-apartment/haig-court
HAIG ELEVEN,D15 / Marine Parade,2005,https://www.edgeprop.sg/condo-apartment/haig-eleven
HAIG GARDENS,D15 / Geylang,1989,https://www.edgeprop.sg/condo-apartment/haig-gardens
HAIG LODGE,D15 / Marine Parade,1996,https://www.edgeprop.sg/condo-apartment/haig-lodge
HAIG MANSIONS,D15 / Geylang,1991,https://www.edgeprop.sg/condo-apartment/haig-mansions
HAIG RESIDENCES,D15 / Marine Parade,2012,https://www.edgeprop.sg/condo-apartment/haig-residences
HAIG TEN,D15 / Geylang,2002,https://www.edgeprop.sg/condo-apartment/haig-ten
HANG TAT GARDEN,D12 / Novena,1979,https://www.edgeprop.sg/condo-apartment/hang-tat-garden
HAPPY ESTATE,D20 / Ang Mo Kio,1984,https://www.edgeprop.sg/condo-apartment/happy-estate
HAPPY MANSION,D13 / Geylang,1977,https://www.edgeprop.sg/condo-apartment/happy-mansion
HARBOUR SUITES,D4 / Bukit Merah,2014,https://www.edgeprop.sg/condo-apartment/harbour-suites
HARBOUR VIEW TOWERS,D4 / Bukit Merah,1994,https://www.edgeprop.sg/condo-apartment/harbour-view-towers
HARBOURLIGHTS,D4 / Bukit Merah,1997,https://www.edgeprop.sg/condo-apartment/harbourlights
HARBOURSIDE APARTMENTS,D4 / Bukit Merah,1997,https://www.edgeprop.sg/condo-apartment/harbourside-apartments
HARMONY @ 1A,D19 / Hougang,2008,https://www.edgeprop.sg/condo-apartment/harmony-1a
HARMONY MANSION,D15 / Marine Parade,1984,https://www.edgeprop.sg/condo-apartment/harmony-mansion
HARVEST MANSIONS,D3 / Bukit Merah,1996,https://www.edgeprop.sg/condo-apartment/harvest-mansions
HAWAII TOWER,D15 / Marine Parade,1984,https://www.edgeprop.sg/condo-apartment/hawaii-tower
HAZEL PARK CONDOMINIUM,D23 / Bukit Panjang,2000,https://www.edgeprop.sg/condo-apartment/hazel-park-condominium
HEDGES PARK CONDOMINIUM,D17 / Pasir Ris,2015,https://www.edgeprop.sg/condo-apartment/hedges-park-condominium
HEETON PARK,D26 / Yishun,1982,https://www.edgeprop.sg/condo-apartment/heeton-park
HEIWA COURT,D15 / Bedok,1984,https://www.edgeprop.sg/condo-apartment/heiwa-court
HEJI GARDENS,D15 / Marine Parade,1983,https://www.edgeprop.sg/condo-apartment/heji-gardens
HELIOS RESIDENCES,D9 / Newton,2011,https://www.edgeprop.sg/condo-apartment/helios-residences
HERITAGE APARTMENTS,D10 / Newton,1995,https://www.edgeprop.sg/condo-apartment/heritage-apartments
HERITAGE EAST,D15 / Bedok,2012,https://www.edgeprop.sg/condo-apartment/heritage-east
HERITAGE PLACE,D7 / Downtown Core,1998,https://www.edgeprop.sg/condo-apartment/heritage-place
HERITAGE RESIDENCES,D15 / Bedok,2008,https://www.edgeprop.sg/condo-apartment/heritage-residences
HERITAGE VIEW,D5 / Queenstown,2000,https://www.edgeprop.sg/condo-apartment/heritage-view
HERTFORD APARTMENTS,D8 / Kallang,Unknown,https://www.edgeprop.sg/condo-apartment/hertford-apartments
HERTFORD COLLECTION,D8 / Kallang,2013,https://www.edgeprop.sg/condo-apartment/hertford-collection
HERTFORD MANSION,D8 / Kallang,Unknown,https://www.edgeprop.sg/condo-apartment/hertford-mansion
HIGH OAK CONDOMINIUM,D21 / Bukit Timah,1999,https://www.edgeprop.sg/condo-apartment/high-oak-condominium
HIGH POINT,D9 / Newton,1974,https://www.edgeprop.sg/condo-apartment/high-point
HIGHGATE,D21 / Bukit Timah,1995,https://www.edgeprop.sg/condo-apartment/highgate
HIGHLAND CENTRE,D19 / Hougang,1995,https://www.edgeprop.sg/condo-apartment/highland-centre
HIGHLAND CONDOMINIUM,D19 / Hougang,1993,https://www.edgeprop.sg/condo-apartment/highland-condominium
HIJAUAN,D9 / Newton,2015,https://www.edgeprop.sg/condo-apartment/hijauan
HILL COURT,D9 / Newton,1975,https://www.edgeprop.sg/condo-apartment/hill-court
HILL PARK,D11 / Novena,2015,https://www.edgeprop.sg/condo-apartment/hill-park
HILLBROOKS,D23 / Bukit Batok,1999,https://www.edgeprop.sg/condo-apartment/hillbrooks
HILLCREST ARCADIA,D11 / Bukit Timah,1980,https://www.edgeprop.sg/condo-apartment/hillcrest-arcadia
HILLCREST PARK,D11 / Bukit Timah,Unknown,https://www.edgeprop.sg/condo-apartment/hillcrest-park
HILLINGTON GREEN,D23 / Bukit Batok,2002,https://www.edgeprop.sg/condo-apartment/hillington-green
HILLS APARTMENT,D11 / Novena,1975,https://www.edgeprop.sg/condo-apartment/hills-apartment
HILLSIDE MANSIONS,D19 / Hougang,1992,https://www.edgeprop.sg/condo-apartment/hillside-mansions
HILLTOP APARTMENTS,D9 / Newton,Unknown,https://www.edgeprop.sg/condo-apartment/hilltop-apartments
HILLTOP GROVE,D23 / Bukit Batok,2001,https://www.edgeprop.sg/condo-apartment/hilltop-grove
HILLTOPS,D9 / Newton,2011,https://www.edgeprop.sg/condo-apartment/hilltops
HILLVIEW 128,D23 / Bukit Batok,2002,https://www.edgeprop.sg/condo-apartment/hillview-128
HILLVIEW APARTMENTS,D23 / Bukit Batok,1997,https://www.edgeprop.sg/condo-apartment/hillview-apartments
HILLVIEW GARDEN ESTATE,D23 / Bukit Batok,Unknown,https://www.edgeprop.sg/condo-apartment/hillview-garden-estate
HILLVIEW GREEN,D21 / Bukit Batok,1998,https://www.edgeprop.sg/condo-apartment/hillview-green
HILLVIEW HEIGHTS,D23 / Bukit Batok,1996,https://www.edgeprop.sg/condo-apartment/hillview-heights
HILLVIEW PARK,D23 / Bukit Batok,1995,https://www.edgeprop.sg/condo-apartment/hillview-park
HILLVIEW REGENCY,D23 / Bukit Batok,2006,https://www.edgeprop.sg/condo-apartment/hillview-regency
HILLVIEW RESIDENCE,D23 / Bukit Batok,2002,https://www.edgeprop.sg/condo-apartment/hillview-residence
HILLVISTA,D23 / Bukit Batok,2010,https://www.edgeprop.sg/condo-apartment/hillvista
HILTON TOWERS,D9 / River Valley,Unknown,https://www.edgeprop.sg/condo-apartment/hilton-towers
HIMIKO COURT,D10 / Bukit Timah,1983,https://www.edgeprop.sg/condo-apartment/himiko-court
HIN SENG GARDEN,D5 / Clementi,1977,https://www.edgeprop.sg/condo-apartment/hin-seng-garden
HJ HEIGHTS,D21 / Bukit Timah,1989,https://www.edgeprop.sg/condo-apartment/hj-heights
HOA NAM BUILDING,D8 / Kallang,1983,https://www.edgeprop.sg/condo-apartment/hoa-nam-building
HOCK MANSION,D9 / Rochor,1975,https://www.edgeprop.sg/condo-apartment/hock-mansion
HOLLAND APARTMENT,D10 / Bukit Timah,Unknown,https://www.edgeprop.sg/condo-apartment/holland-apartment
HOLLAND COURT,D10 / Bukit Timah,Unknown,https://www.edgeprop.sg/condo-apartment/holland-court
HOLLAND CREST,D10 / Bukit Timah,1990,https://www.edgeprop.sg/condo-apartment/holland-crest
N/A,N/A,N/A,https://www.edgeprop.sg/condo-apartment/blissful-view
HOLLAND HILL LODGE,D10 / Bukit Timah,1997,https://www.edgeprop.sg/condo-apartment/holland-hill-lodge
HOLLAND HILL MANSION,D10 / Bukit Timah,1985,https://www.edgeprop.sg/condo-apartment/holland-hill-mansion
HOLLAND HILL PARK,D10 / Bukit Timah,1992,https://www.edgeprop.sg/condo-apartment/holland-hill-park
HOLLAND MEWS,D10 / Tanglin,2004,https://www.edgeprop.sg/condo-apartment/holland-mews
HOLLAND PEAK,D10 / Bukit Timah,1994,https://www.edgeprop.sg/condo-apartment/holland-peak
HOLLAND RESIDENCES,D10 / Bukit Timah,2012,https://www.edgeprop.sg/condo-apartment/holland-residences
HOLLAND SUITES,D10 / Bukit Timah,1999,https://www.edgeprop.sg/condo-apartment/holland-suites
HOLLAND TOWER,D10 / Tanglin,Unknown,https://www.edgeprop.sg/condo-apartment/holland-tower
HOLLAND VIEW,D10 / Bukit Timah,1985,https://www.edgeprop.sg/condo-apartment/holland-view
HOLLANDIA,D10 / Bukit Timah,1985,https://www.edgeprop.sg/condo-apartment/hollandia
HOLLANDSWOOD COURT,D10 / Tanglin,1980,https://www.edgeprop.sg/condo-apartment/hollandswood-court
HOLLYWOOD APARTMENTS,D9 / River Valley,Unknown,https://www.edgeprop.sg/condo-apartment/hollywood-apartments
HOLT RESIDENCES,D10 / Tanglin,2000,https://www.edgeprop.sg/condo-apartment/holt-residences
HOMEY GARDENS,D15 / Bedok,2001,https://www.edgeprop.sg/condo-apartment/homey-gardens
HONG HENG GARDEN,D26 / Yishun,1987,https://www.edgeprop.sg/condo-apartment/hong-heng-garden
HONG HENG MANSIONS,D26 / Yishun,1996,https://www.edgeprop.sg/condo-apartment/hong-heng-mansions
HONG LEONG GARDEN SHOPPING CENTRE,D5 / Clementi,1981,https://www.edgeprop.sg/condo-apartment/hong-leong-garden-shopping-centre
HONG YUN COURT,D15 / Bedok,1984,https://www.edgeprop.sg/condo-apartment/hong-yun-court
HONOLULU TOWER,D10 / Tanglin,1985,https://www.edgeprop.sg/condo-apartment/honolulu-tower
HOOT KIAM MANSION,D10 / Tanglin,Unknown,https://www.edgeprop.sg/condo-apartment/hoot-kiam-mansion
HOOVER FLATS,D12 / Novena,Unknown,https://www.edgeprop.sg/condo-apartment/hoover-flats
HORIZON RESIDENCES,D5 / Queenstown,2014,https://www.edgeprop.sg/condo-apartment/horizon-residences
HORIZON TOWERS,D9 / River Valley,1984,https://www.edgeprop.sg/condo-apartment/horizon-towers
HORIZON VIEW,D9 / Newton,1984,https://www.edgeprop.sg/condo-apartment/horizon-view
HOUGANG COURT,D19 / Hougang,Unknown,https://www.edgeprop.sg/condo-apartment/hougang-court
HOUGANG GREEN,D19 / Hougang,1998,https://www.edgeprop.sg/condo-apartment/hougang-green
HUA COURT,D19 / Hougang,1988,https://www.edgeprop.sg/condo-apartment/hua-court
HUA XIN COURT,D15 / Bedok,1983,https://www.edgeprop.sg/condo-apartment/hua-xin-court
HUA YU MANSION,D14 / Bedok,1982,https://www.edgeprop.sg/condo-apartment/hua-yu-mansion
HULLET COURT,D9 / Newton,2001,https://www.edgeprop.sg/condo-apartment/hullet-court
HUME PARK I,D21 / Bukit Batok,1995,https://www.edgeprop.sg/condo-apartment/hume-park-i
HUME PARK II,D21 / Bukit Batok,1997,https://www.edgeprop.sg/condo-apartment/hume-park-ii
HUNDRED TREES,D5 / Clementi,2013,https://www.edgeprop.sg/condo-apartment/hundred-trees
HUP CHEONG MANSION,D12 / Kallang,1974,https://www.edgeprop.sg/condo-apartment/hup-cheong-mansion
ICB SHOPPING CENTRE,D19 / Hougang,Unknown,https://www.edgeprop.sg/condo-apartment/icb-shopping-centre
ICON,D2 / Downtown Core,2007,https://www.edgeprop.sg/condo-apartment/icon
IDYLLIC EAST,D16 / Bedok,2010,https://www.edgeprop.sg/condo-apartment/idyllic-east
IDYLLIC RESIDENCES,D15 / Bedok,2009,https://www.edgeprop.sg/condo-apartment/idyllic-residences
IDYLLIC SUITES,D14 / Geylang,2014,https://www.edgeprop.sg/condo-apartment/idyllic-suites
ILLUMINAIRE ON DEVONSHIRE,D9 / River Valley,2011,https://www.edgeprop.sg/condo-apartment/illuminaire-on-devonshire
IMPERIAL HEIGHTS,D15 / Geylang,2009,https://www.edgeprop.sg/condo-apartment/imperial-heights
INOVA 100,D15 / Bedok,2008,https://www.edgeprop.sg/condo-apartment/inova-100
INTERNATIONAL PLAZA,D2 / Downtown Core,1976,https://www.edgeprop.sg/condo-apartment/international-plaza
INTERO,D13 / Toa Payoh,2008,https://www.edgeprop.sg/condo-apartment/intero
IRESIDENCES,D12 / Novena,2011,https://www.edgeprop.sg/condo-apartment/iresidences
IRIDIUM,D11 / Novena,2009,https://www.edgeprop.sg/condo-apartment/iridium
ISLAND VIEW,D5 / Queenstown,1984,https://www.edgeprop.sg/condo-apartment/island-view
ISUITES @ MARSHALL,D15 / Marine Parade,2012,https://www.edgeprop.sg/condo-apartment/isuites-marshall
ISUITES @ PALM,D19 / Hougang,2013,https://www.edgeprop.sg/condo-apartment/isuites-palm
ISUITES @ TANI,D19 / Hougang,2012,https://www.edgeprop.sg/condo-apartment/isuites-tani
IVORY,D15 / Geylang,2009,https://www.edgeprop.sg/condo-apartment/ivory
IVORY APARTMENTS,D15 / Bedok,1991,https://www.edgeprop.sg/condo-apartment/ivory-apartments
IVORY HEIGHTS,D22 / Jurong East,Unknown,https://www.edgeprop.sg/condo-apartment/ivory-heights
IXORA COURT,D11 / Novena,Unknown,https://www.edgeprop.sg/condo-apartment/ixora-court
J C DRAYCOTT,D10 / Newton,1998,https://www.edgeprop.sg/condo-apartment/j-c-draycott
J COURT,D15 / Bedok,1989,https://www.edgeprop.sg/condo-apartment/j-court
JADE GARDEN,D10 / Tanglin,2012,https://www.edgeprop.sg/condo-apartment/jade-garden
JADE MANSION,D10 / Bukit Timah,1982,https://www.edgeprop.sg/condo-apartment/jade-mansion
JADE TOWER,D19 / Serangoon,1981,https://www.edgeprop.sg/condo-apartment/jade-tower
JALAN BESAR PLAZA,D8 / Kallang,1980,https://www.edgeprop.sg/condo-apartment/jalan-besar-plaza
JANSEN 28,D19 / Hougang,1999,https://www.edgeprop.sg/condo-apartment/jansen-28
JANSEN MANSIONS,D19 / Hougang,1990,https://www.edgeprop.sg/condo-apartment/jansen-mansions
JANSEN SPRING,D19 / Hougang,2001,https://www.edgeprop.sg/condo-apartment/jansen-spring
JARDIN,D21 / Bukit Timah,2012,https://www.edgeprop.sg/condo-apartment/jardin
JASMINE COURT,D20 / Bishan,1985,https://www.edgeprop.sg/condo-apartment/jasmine-court
JAYA TOWER,D10 / Tanglin,1979,https://www.edgeprop.sg/condo-apartment/jaya-tower
JC COURT,D15 / Geylang,1998,https://www.edgeprop.sg/condo-apartment/jc-court
JC RESIDENCE,D15 / Geylang,2007,https://www.edgeprop.sg/condo-apartment/jc-residence
JERSEY LODGE,D15 / Bedok,2000,https://www.edgeprop.sg/condo-apartment/jersey-lodge
JERVOIS COURT,D10 / Tanglin,Unknown,https://www.edgeprop.sg/condo-apartment/jervois-court
JERVOIS GARDENS,D10 / Tanglin,1984,https://www.edgeprop.sg/condo-apartment/jervois-gardens
JERVOIS GROVE,D10 / Tanglin,1986,https://www.edgeprop.sg/condo-apartment/jervois-grove
N/A,N/A,N/A,https://www.edgeprop.sg/condo-apartment/jervois-jade
JERVOIS LODGE,D10 / Tanglin,1997,https://www.edgeprop.sg/condo-apartment/jervois-lodge
JERVOIS REGENCY,D10 / Tanglin,2003,https://www.edgeprop.sg/condo-apartment/jervois-regency
JERVOIS VIEW,D10 / Tanglin,1982,https://www.edgeprop.sg/condo-apartment/jervois-view
JEWEL OF BALMORAL,D10 / Tanglin,2000,https://www.edgeprop.sg/condo-apartment/jewel-of-balmoral
JI XIANG COURT,D15 / Bedok,1990,https://www.edgeprop.sg/condo-apartment/ji-xiang-court
JIA,D9 / Rochor,2011,https://www.edgeprop.sg/condo-apartment/jia
JIN FU APARTMENTS,D15 / Marine Parade,1984,https://www.edgeprop.sg/condo-apartment/jin-fu-apartments
JLB RESIDENCES,D17 / Pasir Ris,2008,https://www.edgeprop.sg/condo-apartment/jlb-residences
JOO CHIAT APARTMENT,D15 / Marine Parade,1983,https://www.edgeprop.sg/condo-apartment/joo-chiat-apartment
JOO CHIAT COURT,D15 / Geylang,1986,https://www.edgeprop.sg/condo-apartment/joo-chiat-court
JOO CHIAT LODGE,D15 / Geylang,1986,https://www.edgeprop.sg/condo-apartment/joo-chiat-lodge
JOO CHIAT MANSIONS,D15 / Geylang,1986,https://www.edgeprop.sg/condo-apartment/joo-chiat-mansions
JOOL SUITES,D8 / Kallang,2013,https://www.edgeprop.sg/condo-apartment/jool-suites
JOY COURT,D15 / Bedok,1977,https://www.edgeprop.sg/condo-apartment/joy-court
JOYFUL MANSIONS,D15 / Marine Parade,1992,https://www.edgeprop.sg/condo-apartment/joyful-mansions
JUBILATION APARTMENT,D11 / Novena,1986,https://www.edgeprop.sg/condo-apartment/jubilation-apartment
JUBILEE RESIDENCE,D5 / Queenstown,2008,https://www.edgeprop.sg/condo-apartment/jubilee-residence
JUNIPER AT ARDMORE,D10 / Newton,1991,https://www.edgeprop.sg/condo-apartment/juniper-at-ardmore
JUPITER 18,D15 / Geylang,2014,https://www.edgeprop.sg/condo-apartment/jupiter-18
K GARDENS,D15 / Bedok,1987,https://www.edgeprop.sg/condo-apartment/k-gardens
K-LODGE,D15 / Bedok,1992,https://www.edgeprop.sg/condo-apartment/k-lodge
KAI SHENG COURT,D12 / Kallang,1987,https://www.edgeprop.sg/condo-apartment/kai-sheng-court
KASTURINA LODGE,D10 / Tanglin,1999,https://www.edgeprop.sg/condo-apartment/kasturina-lodge
KATONG APARTMENTS,D15 / Geylang,1995,https://www.edgeprop.sg/condo-apartment/katong-apartments
KATONG GARDENS,D15 / Marine Parade,1984,https://www.edgeprop.sg/condo-apartment/katong-gardens
KATONG MANSION,D15 / Bedok,1974,https://www.edgeprop.sg/condo-apartment/katong-mansion
N/A,N/A,N/A,https://www.edgeprop.sg/condo-apartment/katong-omega-apartments
KATONG PARK TOWERS,D15 / Marine Parade,1987,https://www.edgeprop.sg/condo-apartment/katong-park-towers
KATONG PLAZA,D15 / Marine Parade,1983,https://www.edgeprop.sg/condo-apartment/katong-plaza
KATONG SHOPPING ARCADE,D14 / Geylang,1981,https://www.edgeprop.sg/condo-apartment/katong-shopping-arcade
KATONG VILLE,D15 / Geylang,2003,https://www.edgeprop.sg/condo-apartment/katong-ville
KELLETT COURT,D11 / Bukit Timah,1997,https://www.edgeprop.sg/condo-apartment/kellett-court
KELLOCK LODGE,D10 / Tanglin,1997,https://www.edgeprop.sg/condo-apartment/kellock-lodge
KEMAMAN POINT,D12 / Novena,1993,https://www.edgeprop.sg/condo-apartment/kemaman-point
KEMAMAN VIEW,D12 / Novena,1994,https://www.edgeprop.sg/condo-apartment/kemaman-view
KEMBANGAN COURT,D14 / Bedok,1994,https://www.edgeprop.sg/condo-apartment/kembangan-court
KEMBANGAN PLAZA,D14 / Bedok,1993,https://www.edgeprop.sg/condo-apartment/kembangan-plaza
KEMBANGAN SUITES,D14 / Bedok,2011,https://www.edgeprop.sg/condo-apartment/kembangan-suites
KEN MANSION,D12 / Novena,1982,https://www.edgeprop.sg/condo-apartment/ken-mansion
KENG LEE COURT,D8 / Kallang,1985,https://www.edgeprop.sg/condo-apartment/keng-lee-court
KENG LEE VIEW,D8 / Kallang,1982,https://www.edgeprop.sg/condo-apartment/keng-lee-view
KENG YEE GARDEN,D15 / Bedok,1977,https://www.edgeprop.sg/condo-apartment/keng-yee-garden
N/A,N/A,N/A,https://www.edgeprop.sg/condo-apartment/kensington-park
KENT RESIDENCES,D8 / Kallang,2009,https://www.edgeprop.sg/condo-apartment/kent-residences
KENTISH COURT,D8 / Kallang,1999,https://www.edgeprop.sg/condo-apartment/kentish-court
KENTISH GREEN,D8 / Kallang,1999,https://www.edgeprop.sg/condo-apartment/kentish-green
KENTISH LODGE,D8 / Kallang,1998,https://www.edgeprop.sg/condo-apartment/kentish-lodge
KENTVIEW PARK,D5 / Queenstown,1994,https://www.edgeprop.sg/condo-apartment/kentview-park
KERRISDALE,D8 / Kallang,2005,https://www.edgeprop.sg/condo-apartment/kerrisdale
KEW GREEN,D16 / Bedok,1997,https://www.edgeprop.sg/condo-apartment/kew-green
KHEAM HOCK GARDENS,D11 / Novena,1988,https://www.edgeprop.sg/condo-apartment/kheam-hock-gardens
KILAT 19,D21 / Bukit Timah,1986,https://www.edgeprop.sg/condo-apartment/kilat-19
KILAT CENTRE,D21 / Bukit Timah,1989,https://www.edgeprop.sg/condo-apartment/kilat-centre
KILAT COURT,D21 / Bukit Timah,1997,https://www.edgeprop.sg/condo-apartment/kilat-court
KILLINEY 118,D9 / River Valley,2013,https://www.edgeprop.sg/condo-apartment/killiney-118
KILLINEY APARTMENTS,D9 / River Valley,1976,https://www.edgeprop.sg/condo-apartment/killiney-apartments
KIM KEAT GARDENS,D12 / Novena,2003,https://www.edgeprop.sg/condo-apartment/kim-keat-gardens
KIM KEAT HOUSE,D12 / Novena,1999,https://www.edgeprop.sg/condo-apartment/kim-keat-house
KIM KEAT LODGE,D12 / Novena,2000,https://www.edgeprop.sg/condo-apartment/kim-keat-lodge
KIM KEAT MANSION,D12 / Novena,Unknown,https://www.edgeprop.sg/condo-apartment/kim-keat-mansion
KIM SENG PLAZA,D9 / Singapore River,1980,https://www.edgeprop.sg/condo-apartment/kim-seng-plaza
KIM SIA COURT,D9 / Newton,Unknown,https://www.edgeprop.sg/condo-apartment/kim-sia-court
KIM TIAN PLAZA,D3 / Bukit Merah,1987,https://www.edgeprop.sg/condo-apartment/kim-tian-plaza
KIM WEE MANSION,D15 / Marine Parade,1973,https://www.edgeprop.sg/condo-apartment/kim-wee-mansion
KIMLIN MANSION,D10 / River Valley,Unknown,https://www.edgeprop.sg/condo-apartment/kimlin-mansion
N/A,N/A,N/A,https://www.edgeprop.sg/condo-apartment/king-s-arcade
N/A,N/A,N/A,https://www.edgeprop.sg/condo-apartment/king-s-court
N/A,N/A,N/A,https://www.edgeprop.sg/condo-apartment/king-s-flats
N/A,N/A,N/A,https://www.edgeprop.sg/condo-apartment/king-s-mansion
KINGS APARTMENTS,D15 / Bedok,1994,https://www.edgeprop.sg/condo-apartment/kings-apartments
KINGSGROVE,D20 / Serangoon,1992,https://www.edgeprop.sg/condo-apartment/kingsgrove
KINGSLEY MANSIONS,D12 / Novena,1987,https://www.edgeprop.sg/condo-apartment/kingsley-mansions
KINGSTON TERRACE,D14 / Bedok,1994,https://www.edgeprop.sg/condo-apartment/kingston-terrace
KISMIS COURT,D21 / Bukit Timah,1985,https://www.edgeprop.sg/condo-apartment/kismis-court
KISMIS LODGE,D21 / Bukit Timah,Unknown,https://www.edgeprop.sg/condo-apartment/kismis-lodge
KISMIS VIEW,D21 / Bukit Timah,1984,https://www.edgeprop.sg/condo-apartment/kismis-view
KJ MANSION,D19 / Hougang,2003,https://www.edgeprop.sg/condo-apartment/kj-mansion
KLASSIC COURT,D15 / Geylang,2004,https://www.edgeprop.sg/condo-apartment/klassic-court
KNOX VIEW,D15 / Bedok,2003,https://www.edgeprop.sg/condo-apartment/knox-view
KOON SENG COURT,D15 / Geylang,1989,https://www.edgeprop.sg/condo-apartment/koon-seng-court
KORAKUEN ORANGE COURT,D10 / Tanglin,Unknown,https://www.edgeprop.sg/condo-apartment/korakuen-orange-court
KOVAN 81,D19 / Hougang,2001,https://www.edgeprop.sg/condo-apartment/kovan-81
KOVAN APARTMENTS,D19 / Hougang,1994,https://www.edgeprop.sg/condo-apartment/kovan-apartments
KOVAN CENTRE,D19 / Serangoon,1992,https://www.edgeprop.sg/condo-apartment/kovan-centre
KOVAN COURT,D19 / Hougang,1981,https://www.edgeprop.sg/condo-apartment/kovan-court
KOVAN CREST,D19 / Hougang,1999,https://www.edgeprop.sg/condo-apartment/kovan-crest
KOVAN ESQUIRE,D19 / Hougang,1998,https://www.edgeprop.sg/condo-apartment/kovan-esquire
KOVAN GRANDEUR,D19 / Hougang,2011,https://www.edgeprop.sg/condo-apartment/kovan-grandeur
KOVAN LODGE,D19 / Hougang,1984,https://www.edgeprop.sg/condo-apartment/kovan-lodge
KOVAN MELODY,D19 / Hougang,2006,https://www.edgeprop.sg/condo-apartment/kovan-melody
KOVAN PRIMERA,D19 / Hougang,2005,https://www.edgeprop.sg/condo-apartment/kovan-primera
KOVAN RESIDENCES,D19 / Hougang,2011,https://www.edgeprop.sg/condo-apartment/kovan-residences
KOVANA,D19 / Hougang,2007,https://www.edgeprop.sg/condo-apartment/kovana
KUM HING COURT,D9 / Orchard,Unknown,https://www.edgeprop.sg/condo-apartment/kum-hing-court
N/A,N/A,N/A,https://www.edgeprop.sg/condo-apartment/l-viv
LA BRISA,D14 / Geylang,2012,https://www.edgeprop.sg/condo-apartment/la-brisa
LA CASA,D25 / Woodlands,2008,https://www.edgeprop.sg/condo-apartment/la-casa
LA CRYSTAL,D9 / River Valley,1996,https://www.edgeprop.sg/condo-apartment/la-crystal
LA DOLCE VITA,D19 / Serangoon,2012,https://www.edgeprop.sg/condo-apartment/la-dolce-vita
LA FLEUR,D14 / Geylang,2014,https://www.edgeprop.sg/condo-apartment/la-fleur
LA MAISON,D11 / Novena,1999,https://www.edgeprop.sg/condo-apartment/la-maison
LA MEYER,D15 / Marine Parade,1994,https://www.edgeprop.sg/condo-apartment/la-meyer
